,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure,Goal,Goal_Win
96393,96047de8-bebd-4260-a428-04fb3f425208,85,Barcelona,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,"[117.6, 64.7]",Center Forward,"[119.1, 34.8]",0.3526,,Wayward,Open Play,69146,,0,False
96394,e082bbe3-3cd2-4ff6-b9fd-f4ba78210b23,89,Barcelona,From Free Kick,Barcelona,Ronaldo de Assis Moreira,"[96.7, 45.0]",Right Center Midfield,"[87.0, 44.8]",0.4399,,Blocked,Free Kick,69146,,0,False
96396,e94d6e86-d95c-411c-8eb5-d91888974aff,94,Barcelona,From Free Kick,Barcelona,Ronaldo de Assis Moreira,"[118.7, 37.5, 0.5]",Right Center Midfield,"[90.9, 26.4]",0.74,,Saved,Free Kick,69146,,0,False
96400,0c2450ff-2afb-4e0c-9cef-4c07fcd73f06,17,Barcelona,From Corner,Barcelona,Anderson Luís de Souza,"[120.0, 33.6, 0.2]",Left Center Midfield,"[110.7, 18.0]",0.698857,,Off T,Open Play,69182,,0,False
96401,d8583824-ad41-4565-9d66-76cdf5b590a0,18,Barcelona,From Corner,Barcelona,Rafael Márquez Álvarez,"[120.0, 33.5, 4.8]",Right Center Back,"[114.0, 31.6]",0.802694,,Off T,Open Play,69182,,0,False
96403,f0f797bc-be57-41fb-acdb-1389dd2995a3,25,Barcelona,Regular Play,Barcelona,Giovani dos Santos Ramírez,"[114.7, 31.6, 0.7]",Left Wing,"[113.0, 29.3]",0.459154,,Saved,Open Play,69182,,0,False
96407,a782e6a4-9790-4e35-be17-ed048af074a8,33,Barcelona,From Goal Kick,Barcelona,Thierry Henry,"[120.0, 42.6, 0.3]",Center Forward,"[112.5, 38.1]",0.977799,True,Goal,Open Play,69182,,1,True
96408,e08a34dc-bd0f-423f-9560-1a87cf3d2af6,38,Barcelona,From Keeper,Barcelona,Anderson Luís de Souza,"[114.3, 39.7, 0.2]",Left Center Midfield,"[102.1, 35.4]",0.7694,,Saved,Open Play,69182,,0,False
96415,663224e7-b40d-4314-8f4d-2979c1f3b6db,70,Barcelona,From Free Kick,Barcelona,Anderson Luís de Souza,"[118.1, 38.4, 0.5]",Left Center Midfield,"[84.8, 39.9]",1.0901,,Saved,Open Play,69182,,0,False
96416,10a05561-d616-4844-9e07-1082fa0d29d2,72,Barcelona,Regular Play,Barcelona,Anderson Luís de Souza,"[120.0, 40.7, 4.6]",Left Center Midfield,"[96.2, 42.6]",1.009249,,Off T,Open Play,69182,,0,False
96418,c557815c-7c48-4146-a648-ccfa662abb73,76,Barcelona,From Free Kick,Barcelona,Thierry Henry,"[120.0, 37.0, 5.3]",Center Forward,"[88.4, 44.6]",1.440038,,Off T,Open Play,69182,,0,False
96419,8599e32d-939c-4f72-beb1-4234de6fb51d,78,Barcelona,From Free Kick,Barcelona,Thierry Henry,"[120.0, 41.0, 4.2]",Center Forward,"[107.1, 28.7]",1.30921,True,Off T,Open Play,69182,,0,False
96420,f62f3db4-4a53-4698-89ea-9107bf641ef7,82,Barcelona,Other,Barcelona,Ronaldo de Assis Moreira,"[120.0, 43.6, 1.3]",Left Wing,"[108.0, 40.2]",0.634119,,Goal,Penalty,69182,,1,True
96421,b221f59c-da2a-4ece-afde-4ebd266a991b,86,Barcelona,From Free Kick,Barcelona,Ronaldo de Assis Moreira,"[120.0, 44.5, 0.7]",Left Wing,"[107.4, 36.3]",1.172893,,Off T,Open Play,69182,,0,False
96423,6ab2a900-1ac6-4568-8102-df055bbdc838,1,Barcelona,Regular Play,Barcelona,"Samuel Eto""o Fils","[120.0, 37.5, 1.8]",Center Forward,"[114.0, 38.8]",0.6016,True,Goal,Open Play,68358,True,1,True
96426,3da63568-6f9a-4d8c-9137-71a340838fa1,20,Barcelona,From Corner,Barcelona,Gabriel Alejandro Milito,"[112.5, 48.7]",Left Center Back,"[111.7, 49.3]",0.0926,,Blocked,Open Play,68358,True,0,False
96427,baf67d80-2b5a-4214-a313-8076d6ce05e3,21,Barcelona,From Free Kick,Barcelona,Gnégnéri Yaya Touré,"[120.0, 41.2, 4.4]",Center Defensive Midfield,"[82.1, 39.7]",1.196648,,Off T,Open Play,68358,,0,False
96429,4683df98-26c0-4fbe-b30b-349349b0af9d,33,Barcelona,From Throw In,Barcelona,"Samuel Eto""o Fils","[108.0, 34.3]",Center Forward,"[101.3, 28.4]",0.2042,,Blocked,Open Play,68358,,0,False
96433,38af50bf-614e-4df5-9b64-10af1c5f8448,48,Barcelona,From Free Kick,Barcelona,Giovani dos Santos Ramírez,"[108.5, 39.8, 1.3]",Right Wing,"[102.2, 38.8]",0.239185,True,Saved,Open Play,68358,,0,False
96434,07f5eaf7-fd17-47a7-86a9-8f64214dd320,45,Barcelona,From Kick Off,Barcelona,Gnégnéri Yaya Touré,"[120.0, 30.1, 0.8]",Center Defensive Midfield,"[60.7, 40.1]",2.676407,,Off T,Open Play,68358,,0,False
96435,7b91a3ae-1019-455b-b2fd-1e7230134fbb,45,Barcelona,Regular Play,Barcelona,"Samuel Eto""o Fils","[120.0, 43.0, 2.4]",Center Forward,"[95.5, 33.9]",0.813616,,Goal,Open Play,68358,,1,True
96438,bd859a15-4337-484c-ac31-111391e6ac61,55,Barcelona,From Free Kick,Barcelona,Eiður Smári Guðjohnsen,"[104.2, 37.6]",Left Center Midfield,"[86.6, 37.1]",0.538686,,Blocked,Open Play,68358,,0,False
96442,775abe61-19fc-4362-a74d-0d3c8ea62d99,66,Barcelona,From Free Kick,Barcelona,Gnégnéri Yaya Touré,"[97.2, 43.8]",Center Defensive Midfield,"[92.0, 43.5]",0.098432,,Blocked,Open Play,68358,,0,False
96443,0187fd3e-4619-4fc1-b681-afadb62f1fb6,67,Barcelona,Regular Play,Barcelona,"Samuel Eto""o Fils","[120.0, 34.9, 2.8]",Center Forward,"[106.8, 39.1]",0.977117,,Off T,Open Play,68358,,0,False
96447,8b8c59c8-a9b8-4295-bab1-2021092911a0,93,Barcelona,From Free Kick,Barcelona,Xavier Hernández Creus,"[120.0, 37.6, 3.6]",Right Center Midfield,"[85.2, 49.4]",1.283962,,Off T,Open Play,68358,True,0,False
96449,a4bdf8ef-ac35-4821-8bef-b744932143e3,1,Barcelona,From Corner,Barcelona,Eiður Smári Guðjohnsen,"[120.0, 24.4, 2.0]",Left Center Midfield,"[95.4, 53.7]",2.421494,,Off T,Open Play,68361,,0,False
96454,6fc2bf93-8c3d-4126-ab01-d769121b7ef0,22,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[118.2, 42.4, 1.5]",Right Wing,"[98.7, 72.7]",1.4418,,Saved,Free Kick,68361,,0,False
96455,7a6e11f2-0324-4267-9c1c-cca50a41f2ff,23,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[95.7, 40.0]",Center Attacking Midfield,"[94.6, 39.9]",0.1745,,Blocked,Open Play,68361,,0,False
96456,a4c17044-fb74-431e-855f-43a19af6581c,23,Barcelona,From Free Kick,Barcelona,Bojan Krkíc Pérez,"[120.0, 47.8, 6.2]",Center Forward,"[107.2, 31.4]",0.920361,,Off T,Open Play,68361,,0,False
96457,602369a8-e2f8-44d0-a2f9-56b5f32731ed,25,Barcelona,From Free Kick,Barcelona,Thierry Henry,"[120.0, 45.0, 3.7]",Left Wing,"[94.5, 39.4]",1.108008,,Off T,Free Kick,68361,,0,False
96459,c561fed9-56b4-41e0-92cf-2b9739fd5f1f,31,Barcelona,From Throw In,Barcelona,Giovani dos Santos Ramírez,"[120.0, 33.1, 4.5]",Right Wing,"[98.3, 62.9]",1.51872,,Off T,Open Play,68361,,0,False
96465,1a8c6a1c-5e12-4748-a52f-62ad4e75ee6b,45,Barcelona,From Free Kick,Barcelona,Xavier Hernández Creus,"[120.0, 45.2, 3.8]",Right Center Midfield,"[94.4, 45.9]",0.865109,,Off T,Free Kick,68361,,0,False
96466,366f6290-e6fa-4e2d-a063-0958ed7a224e,46,Barcelona,From Kick Off,Barcelona,Bojan Krkíc Pérez,"[115.0, 42.7]",Center Forward,"[114.4, 43.6]",0.2055,,Blocked,Open Play,68361,,0,False
96472,82479939-f9c5-4cf6-94d7-ac87fa72df0a,64,Barcelona,From Throw In,Barcelona,Thierry Henry,"[120.0, 33.6, 0.8]",Left Wing,"[97.3, 40.0]",1.288796,,Off T,Open Play,68361,,0,False
96474,da56df14-db00-4317-8093-31aeeffc2ac9,70,Barcelona,From Goal Kick,Barcelona,Bojan Krkíc Pérez,"[117.3, 37.4, 1.5]",Center Forward,"[103.9, 28.8]",0.8082,,Saved,Open Play,68361,,0,False
96478,36e3850c-8270-4ce2-9f39-295eae965b68,81,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[117.8, 37.4, 0.8]",Center Attacking Midfield,"[101.3, 43.9]",0.6579,,Saved,Open Play,68361,,0,False
96479,f81030d8-c4bb-4590-bbc1-0ea827a8dd21,85,Barcelona,From Counter,Barcelona,Lionel Andrés Messi Cuccittini,"[118.7, 45.0, 1.2]",Center Attacking Midfield,"[117.3, 51.0]",0.2348,True,Saved,Open Play,68361,,0,False
96480,10569376-e0bb-4a13-815d-134fe0b596c8,85,Barcelona,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 35.4, 3.9]",Center Attacking Midfield,"[99.2, 59.3]",1.423592,,Off T,Open Play,68361,,0,False
96481,bb0e28a8-8767-4079-aaae-e9f5921b8c8c,86,Barcelona,Regular Play,Barcelona,Thierry Henry,"[120.0, 42.9, 1.3]",Left Wing,"[96.5, 33.3]",1.127968,True,Goal,Open Play,68361,,1,True
96482,4351d14e-9995-4585-ac5c-2520a912904d,91,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[106.2, 30.8]",Center Attacking Midfield,"[97.8, 27.5]",0.4004,,Blocked,Free Kick,68361,,0,False
96483,9fd12232-602c-42d7-9bdc-26911a35170e,2,Barcelona,From Corner,Barcelona,Gianluca Zambrotta,"[98.7, 55.5]",Right Back,"[96.5, 56.8]",0.212398,,Blocked,Open Play,69141,,0,False
96484,c47b7e56-5271-437d-9445-e1f356d53c86,5,Barcelona,Other,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 41.8, 0.2]",Right Wing,"[107.9, 40.0]",0.4634,,Goal,Penalty,69141,,1,True
96485,8ce05960-50dd-4032-81f7-2123a54b7ace,7,Barcelona,Regular Play,Barcelona,Xavier Hernández Creus,"[120.0, 38.3, 0.7]",Right Center Midfield,"[97.4, 42.7]",0.924,,Goal,Open Play,69141,,1,True
96487,da573b7d-0df8-4525-a1eb-75456e4a52ae,13,Barcelona,Regular Play,Barcelona,Thierry Henry,"[120.0, 41.9, 0.2]",Left Wing,"[113.3, 31.7]",0.607051,,Goal,Open Play,69141,,1,True
96489,7e2cc82c-acc7-41ff-853e-f2e8ae91c3b8,27,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[97.8, 33.9]",Right Wing,"[95.2, 33.4]",0.1721,,Blocked,Open Play,69141,,0,False
96490,31676f47-aa2e-4aa1-b672-66dcd6a6a160,29,Barcelona,From Throw In,Barcelona,Thierry Henry,"[113.2, 45.7, 0.2]",Left Wing,"[107.0, 48.6]",0.422703,,Saved,Open Play,69141,,0,False
96491,5139c4f4-b5b8-4fef-b581-d38784040619,31,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[115.0, 46.2, 0.5]",Right Wing,"[113.6, 47.7]",0.2601,,Saved,Open Play,69141,,0,False
96492,2126b282-deaa-4d75-9ac4-cb62d4307f0b,36,Barcelona,From Free Kick,Barcelona,"Samuel Eto""o Fils","[118.8, 33.2, 0.6]",Center Forward,"[118.4, 29.6]",0.047845,True,Saved,Open Play,69141,,0,False
96494,07818092-1547-4f00-b8d6-eee0d1652083,40,Barcelona,From Throw In,Barcelona,Xavier Hernández Creus,"[117.2, 36.9, 0.5]",Right Center Midfield,"[103.4, 20.1]",0.489262,,Saved,Open Play,69141,,0,False
96495,5d8dc6f5-ca78-465c-8004-10f3636d194a,43,Barcelona,Regular Play,Barcelona,Anderson Luís de Souza,"[98.8, 42.8]",Left Center Midfield,"[92.9, 43.0]",0.299,,Blocked,Open Play,69141,,0,False
96496,973d7254-52a7-44a3-84e3-4ebcde1ab663,43,Barcelona,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 45.4, 1.9]",Right Wing,"[115.4, 47.5]",0.337034,True,Off T,Open Play,69141,,0,False
96497,c8603129-e563-4651-8a84-9a27bbc2f1c9,53,Barcelona,From Throw In,Barcelona,Thierry Henry,"[115.1, 40.1, 0.7]",Left Wing,"[96.2, 28.6]",0.671831,,Saved,Open Play,69141,,0,False
96498,9d0d6662-c1a6-420e-92ea-6cda7fbc4b7c,57,Barcelona,From Free Kick,Barcelona,Thierry Henry,"[120.0, 43.9, 0.7]",Left Wing,"[100.8, 26.2]",1.198561,,Goal,Open Play,69141,,1,True
96500,d1002df7-a449-4627-89a5-5f48af8e263c,69,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[115.3, 36.3, 1.6]",Right Wing,"[104.4, 31.7]",0.440224,,Saved,Open Play,69141,,0,False
96502,63a6b8bc-eab5-4b70-a153-b609d7b8b97d,71,Barcelona,Regular Play,Barcelona,Bojan Krkíc Pérez,"[120.0, 43.3, 0.2]",Center Forward,"[110.1, 43.8]",0.645787,,Goal,Open Play,69141,,1,True
96503,fd850df7-d5c0-4418-b5a5-4e2fabf19292,74,Barcelona,Regular Play,Barcelona,Anderson Luís de Souza,"[103.1, 41.2]",Left Center Midfield,"[100.9, 41.3]",0.1819,,Blocked,Open Play,69141,,0,False
96505,ca6143ab-dc5f-4f3b-9586-f1b20c980654,78,Barcelona,From Goal Kick,Barcelona,Bojan Krkíc Pérez,"[120.0, 42.2, 0.4]",Center Forward,"[112.9, 43.2]",0.32101,,Goal,Open Play,69141,,1,True
96506,35f94ee7-c02b-4608-a1a5-253835dd0edd,8,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[100.4, 42.7]",Left Wing,"[92.4, 43.7]",0.2969,,Blocked,Open Play,69145,,0,False
96507,5ae715a1-9a1f-40b5-a8fd-707cf35e11a0,8,Barcelona,From Corner,Barcelona,Gnégnéri Yaya Touré,"[119.2, 40.7, 2.4]",Center Defensive Midfield,"[110.8, 42.4]",0.5556,,Saved,Open Play,69145,True,0,False
96508,3fadee25-0f89-4709-ad84-9a5d0fbb0da0,12,Barcelona,From Throw In,Barcelona,"Samuel Eto""o Fils","[120.0, 36.7, 1.7]",Right Wing,"[104.9, 42.5]",0.8995,,Goal,Open Play,69145,,1,True
96510,2cafead2-fd36-419a-87fe-691d8a9bc110,20,Barcelona,Regular Play,Barcelona,"Samuel Eto""o Fils","[118.4, 39.8, 0.4]",Right Wing,"[110.8, 40.3]",0.52692,,Saved,Open Play,69145,True,0,False
96511,9f1c739a-67da-4eea-b62e-e70323b73867,26,Barcelona,From Throw In,Barcelona,"Samuel Eto""o Fils","[120.0, 40.3, 0.2]",Right Wing,"[104.9, 49.6]",0.870569,,Goal,Open Play,69145,,1,True
96512,ef7f4d7b-4d3f-4537-ac33-04ed4342bf27,28,Barcelona,From Free Kick,Barcelona,Rafael Márquez Álvarez,"[118.8, 36.4, 1.3]",Right Center Back,"[92.9, 31.0]",1.2123,,Saved,Free Kick,69145,,0,False
96513,34f4dd9e-d548-47bd-b1e1-cbbcb95a7813,30,Barcelona,From Free Kick,Barcelona,"Samuel Eto""o Fils","[120.0, 43.3, 6.7]",Right Wing,"[104.6, 42.2]",1.230069,,Off T,Open Play,69145,,0,False
96515,1344542e-d7f0-4d88-98a0-6b1cbec1a56d,35,Barcelona,From Corner,Barcelona,Rafael Márquez Álvarez,"[120.0, 36.0, 1.6]",Right Center Back,"[117.2, 31.5]",0.532612,,Off T,Open Play,69145,True,0,False
96518,2a441f5b-8d43-44af-a647-970055551a67,47,Barcelona,Regular Play,Barcelona,"Samuel Eto""o Fils","[115.4, 44.3, 0.2]",Right Wing,"[100.3, 50.2]",0.748157,,Saved,Open Play,69145,,0,False
96520,ec029889-b509-408a-a174-3a3da1602feb,52,Barcelona,From Throw In,Barcelona,Giovani dos Santos Ramírez,"[118.1, 37.6, 1.8]",Left Wing,"[98.3, 53.0]",1.1311,,Saved,Open Play,69145,,0,False
96521,4518943e-bbbf-4abe-993e-8e03ed541bf0,61,Barcelona,From Free Kick,Barcelona,Eiður Smári Guðjohnsen,"[120.0, 40.4, 0.2]",Center Forward,"[111.3, 41.1]",0.720721,,Goal,Open Play,69145,,1,True
96523,ee26e075-ff56-41b3-8b82-5520c0f74ea9,73,Barcelona,From Counter,Barcelona,Giovani dos Santos Ramírez,"[119.9, 29.6, 0.3]",Left Wing,"[104.2, 49.1]",1.805168,,Off T,Open Play,69145,,0,False
96524,8e236a33-b59b-4077-90f8-52530ab47e09,76,Barcelona,Regular Play,Barcelona,Giovani dos Santos Ramírez,"[117.9, 39.1]",Left Wing,"[114.0, 38.7]",0.5041,,Blocked,Open Play,69145,,0,False
96525,45ade6f7-8008-4fa4-b5dd-6f78d93f39ba,80,Barcelona,From Throw In,Barcelona,Bojan Krkíc Pérez,"[115.0, 41.8, 0.2]",Right Wing,"[91.9, 36.2]",1.034238,,Saved,Open Play,69145,,0,False
96528,df09decb-b09f-41b2-84a2-c1c6d95cb7ea,86,Barcelona,Regular Play,Barcelona,Bojan Krkíc Pérez,"[113.8, 47.8]",Right Wing,"[111.3, 52.1]",0.32,,Blocked,Open Play,69145,,0,False
102462,d0a3a318-9e65-4f79-9a78-1e65d4ea5b82,1,Barcelona,From Free Kick,Barcelona,Eric-Sylvain Bilal Abidal,"[120.0, 33.4, 0.9]",Left Back,"[83.5, 29.2]",1.4833,,Off T,Open Play,69225,,0,False
102463,572ebe7b-7efb-4370-98d4-3d178ce0c59d,5,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[118.2, 41.8, 0.2]",Right Wing,"[110.4, 54.2]",0.4465,,Saved,Open Play,69225,,0,False
102464,9f17a2a7-976c-4eb7-b4be-7cb6f2b9bdc1,6,Barcelona,From Throw In,Barcelona,Thierry Henry,"[120.0, 34.5, 0.3]",Left Wing,"[93.2, 24.1]",1.162,,Off T,Open Play,69225,,0,False
102465,bb3d8291-0dba-40a9-9ed0-f395eef891f6,15,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[118.8, 41.6, 0.3]",Right Wing,"[108.1, 53.1]",0.616861,,Saved,Open Play,69225,True,0,False
102466,71faa4ab-6734-4fa1-b309-29df1020285c,16,Barcelona,From Counter,Barcelona,Gnégnéri Yaya Touré,"[104.8, 36.6]",Center Defensive Midfield,"[100.7, 36.6]",0.174,,Blocked,Open Play,69225,,0,False
102467,4caa7317-e500-4abc-abf3-f14694f76ba7,18,Barcelona,Regular Play,Barcelona,Eric-Sylvain Bilal Abidal,"[108.5, 36.9]",Left Back,"[107.2, 36.3]",0.1455,,Blocked,Open Play,69225,,0,False
102468,fd9b523e-567a-41e4-956d-cdf868fef119,22,Barcelona,From Free Kick,Barcelona,Daniel Alves da Silva,"[91.0, 29.4]",Right Back,"[80.2, 27.4]",0.2499,,Blocked,Free Kick,69225,,0,False
102472,dba9ed33-a2ea-46a2-8b8c-67a9a944c2dc,32,Barcelona,Regular Play,Barcelona,Thierry Henry,"[119.5, 36.8, 1.3]",Left Wing,"[114.2, 20.0]",0.4979,True,Saved,Open Play,69225,,0,False
102473,a4572820-43b7-46f9-acc5-f17f267500e0,32,Barcelona,From Corner,Barcelona,"Samuel Eto""o Fils","[118.2, 41.6, 1.4]",Center Forward,"[93.1, 25.3]",1.505764,,Saved,Open Play,69225,,0,False
102474,d8d4960f-87c3-4681-8484-5aa1254657f5,44,Barcelona,Regular Play,Barcelona,"Samuel Eto""o Fils","[103.7, 38.3]",Center Forward,"[100.5, 38.7]",0.1565,,Blocked,Open Play,69225,,0,False
102475,ad699c60-323d-41d6-9407-b0ffdc7981be,47,Barcelona,From Free Kick,Barcelona,"Samuel Eto""o Fils","[118.8, 38.3, 1.7]",Center Forward,"[106.8, 24.5]",0.5785,,Saved,Open Play,69225,,0,False
102477,db71a60f-26ed-470e-b81c-01325d4c883a,51,Barcelona,From Counter,Barcelona,Lionel Andrés Messi Cuccittini,"[97.2, 41.0]",Right Wing,"[95.0, 41.3]",0.0905,,Blocked,Open Play,69225,,0,False
102478,c7eef270-529f-4b9a-8b36-7091ff3829cf,55,Barcelona,Regular Play,Barcelona,"Samuel Eto""o Fils","[120.0, 43.2, 3.6]",Center Forward,"[108.1, 60.4]",0.7874,,Off T,Open Play,69225,,0,False
102479,0a34cbb9-1053-4b69-942d-212e6772980b,66,Barcelona,From Corner,Barcelona,"Samuel Eto""o Fils","[116.7, 42.8]",Center Forward,"[116.6, 44.2]",0.181038,,Wayward,Open Play,69225,,0,False
102480,ef4feb41-6229-4f01-8466-cbf0f7b4a352,67,Barcelona,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,"[119.9, 44.7, 0.3]",Right Wing,"[100.8, 58.1]",0.912,,Off T,Open Play,69225,,0,False
102481,7429d137-a05d-4bec-a30b-a41c360077e3,68,Barcelona,Regular Play,Barcelona,Xavier Hernández Creus,"[99.4, 41.2]",Right Center Midfield,"[95.1, 41.2]",0.1149,,Blocked,Open Play,69225,,0,False
102482,f4050c2e-8f17-4e3d-925f-8019c4fefb76,69,Barcelona,Other,Barcelona,"Samuel Eto""o Fils","[119.8, 43.4, 0.5]",Center Forward,"[108.3, 40.1]",0.3422,True,Saved,Penalty,69225,,0,False
102483,31bf28d6-d90c-450e-b749-7932a4cf7bd9,71,Barcelona,From Throw In,Barcelona,"Samuel Eto""o Fils","[116.4, 38.3, 0.9]",Center Forward,"[100.1, 38.6]",0.569,,Saved,Open Play,69225,,0,False
102484,a7c0f6f6-ef1d-44f3-86aa-13577e1379c0,73,Barcelona,From Corner,Barcelona,Daniel Alves da Silva,"[105.4, 51.1]",Right Back,"[95.0, 45.8]",0.565346,,Wayward,Open Play,69225,,0,False
102486,f9021ee4-2b7f-441a-bf1f-b622f61f73d9,82,Barcelona,From Corner,Barcelona,"Samuel Eto""o Fils","[120.0, 39.4, 0.3]",Center Forward,"[116.3, 40.3]",0.827613,,Goal,Open Play,69225,,1,True
102488,89be0308-3b31-481d-8af5-ac7bd324a863,91,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 36.7, 2.0]",Right Wing,"[110.6, 28.5]",1.0833,,Goal,Open Play,69225,,1,True
102489,cadc74fc-27c5-4cba-b453-21b0e49ea172,3,Barcelona,From Corner,Barcelona,Rafael Márquez Álvarez,"[120.0, 43.5, 1.1]",Right Center Back,"[115.0, 34.3]",0.9107,,Goal,Open Play,69212,,1,True
102490,85306fd1-ba7d-4e4a-aae9-cd0ec772b6d0,5,Barcelona,Other,Barcelona,"Samuel Eto""o Fils","[120.0, 36.4, 0.2]",Center Forward,"[108.0, 39.9]",0.8091,,Goal,Penalty,69212,,1,True
102492,f70be1b4-e2b4-4c08-ae61-af1a88037071,8,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 36.6, 0.4]",Right Wing,"[93.7, 56.2]",3.355796,,Goal,Free Kick,69212,,1,True
102494,548e173a-7c42-4955-94ba-7d510c00afda,17,Barcelona,Regular Play,Barcelona,"Samuel Eto""o Fils","[120.0, 42.7, 0.2]",Center Forward,"[110.3, 37.4]",1.233141,,Goal,Open Play,69212,,1,True
102496,d6940a30-0364-4fc7-8953-f7f1a937546d,27,Barcelona,From Free Kick,Barcelona,Andrés Iniesta Luján,"[120.0, 44.1, 0.2]",Left Wing,"[105.3, 46.6]",0.937804,,Post,Open Play,69212,,0,False
102497,3d772a43-8598-4dda-be67-378e0d2ef7c2,27,Barcelona,From Free Kick,Barcelona,Eiður Smári Guðjohnsen,"[120.0, 39.2, 0.2]",Left Center Midfield,"[110.4, 38.0]",0.8989,,Goal,Open Play,69212,,1,True
102498,4ea966e1-e522-4933-bd74-9f4d011f746f,30,Barcelona,From Free Kick,Barcelona,"Samuel Eto""o Fils","[107.5, 49.2]",Center Forward,"[106.4, 50.4]",0.360403,,Blocked,Open Play,69212,,0,False
102499,281ce3a6-c6dd-40c1-a7eb-52f67c8e78c3,30,Barcelona,From Free Kick,Barcelona,Andrés Iniesta Luján,"[120.0, 44.1, 1.4]",Left Wing,"[104.0, 21.1]",1.557257,,Post,Open Play,69212,,0,False
102500,d3b3bf2f-1985-494b-a6a4-161179e3dada,30,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[113.5, 41.7]",Right Wing,"[111.6, 50.8]",0.6449,True,Wayward,Open Play,69212,,0,False
102501,3977dace-e0f7-40eb-b542-b0dd3d71d985,37,Barcelona,From Throw In,Barcelona,Eiður Smári Guðjohnsen,"[120.0, 44.8, 2.7]",Left Center Midfield,"[109.8, 39.3]",0.5326,,Off T,Open Play,69212,,0,False
102502,67063be1-6b2b-4c50-8d59-49b31a9bad5b,39,Atlético Madrid,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 35.4, 0.2]",Right Wing,"[106.8, 40.5]",1.3873,True,Off T,Open Play,69212,,0,False
102505,8724d638-8575-4785-883c-96878d2bd89c,53,Barcelona,From Free Kick,Barcelona,Rafael Márquez Álvarez,"[107.7, 35.2]",Right Center Back,"[102.2, 31.6]",0.3304,,Blocked,Open Play,69212,,0,False
102506,dcdb78f7-4062-4efb-9cf9-64632c5e8108,59,Barcelona,From Free Kick,Barcelona,Rafael Márquez Álvarez,"[120.0, 39.8, 4.1]",Right Center Back,"[110.8, 35.2]",0.773,,Off T,Open Play,69212,True,0,False
102507,ca16dddd-4c75-4bdc-b76d-dd03b9af4d96,65,Barcelona,From Corner,Barcelona,Carles Puyol i Saforcada,"[120.0, 35.6, 4.2]",Right Back,"[113.5, 31.8]",0.5485,,Off T,Open Play,69212,,0,False
102508,94363401-96b5-4b05-ba79-15611b67dacc,68,Barcelona,Regular Play,Barcelona,Eiður Smári Guðjohnsen,"[115.2, 39.6, 1.6]",Left Center Midfield,"[102.9, 30.5]",0.6927,,Saved,Open Play,69212,,0,False
102511,e7ea7fe3-3d75-42cc-8e3f-b38ad680acd5,72,Barcelona,Regular Play,Barcelona,Thierry Henry,"[120.0, 37.4, 0.4]",Center Forward,"[96.9, 43.1]",0.9953,,Goal,Open Play,69212,,1,True
102512,e2dc1d97-b777-46f4-945d-37b1f0e29087,75,Barcelona,Regular Play,Barcelona,Bojan Krkíc Pérez,"[114.8, 43.8, 1.3]",Center Forward,"[93.4, 50.2]",1.029453,,Saved,Open Play,69212,,0,False
102513,08b261fd-6799-4e32-93b6-17c14d4a7e4a,77,Atlético Madrid,Regular Play,Barcelona,Bojan Krkíc Pérez,"[120.0, 32.2, 0.3]",Center Forward,"[92.7, 32.9]",1.44438,,Off T,Open Play,69212,,0,False
102514,cca497da-a4c6-4f25-8a3f-766b572ef98d,4,Barcelona,From Free Kick,Barcelona,Xavier Hernández Creus,"[120.0, 43.3, 2.1]",Left Center Midfield,"[95.1, 40.1]",1.1581,,Goal,Free Kick,69235,,1,True
102515,69cf1919-6d6c-431c-b08f-b927208e0fa2,11,Barcelona,From Throw In,Barcelona,Andrés Iniesta Luján,"[120.0, 47.0, 3.1]",Left Wing,"[88.8, 41.4]",1.5625,,Off T,Open Play,69235,,0,False
