,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure,Goal,Goal_Win
126016,8d1afb4c-4d17-4e1b-99e8-6879e740ea59,9,Barcelona,From Corner,Barcelona,Ricard Puig Martí,"[120.0, 25.1, 0.2]",Left Center Midfield,"[98.7, 44.1]",0.848434,,Off T,Open Play,303516,,0,False
126017,324d1691-9fe4-4e05-aa18-0cb6ac48a3e4,13,Barcelona,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,"[102.9, 37.4]",Right Wing,"[95.0, 36.6]",0.294846,,Blocked,Open Play,303516,,0,False
126019,873e9ecd-f9e5-42ce-b17b-46633ac93866,19,Barcelona,From Free Kick,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 43.1, 1.9]",Center Forward,"[116.2, 44.4]",0.525849,,Goal,Open Play,303516,,1,True
126023,217dd5c4-986b-42e2-9d67-a40a1dfac346,32,Barcelona,Regular Play,Barcelona,Arturo Erasmo Vidal Pardo,"[120.0, 28.6, 0.2]",Right Center Midfield,"[98.9, 48.9]",1.176813,,Off T,Open Play,303516,,0,False
126024,c9adb750-4080-4f5d-af21-d17dc04f157d,35,Barcelona,From Throw In,Barcelona,Anssumane Fati,"[108.0, 37.3]",Left Wing,"[106.7, 37.2]",0.080797,,Blocked,Open Play,303516,,0,False
126025,d1012dfc-e815-4882-9566-b792131f0399,35,Barcelona,From Corner,Barcelona,Luis Alberto Suárez Díaz,"[109.5, 44.1]",Center Forward,"[107.2, 44.1]",0.154093,,Blocked,Open Play,303516,,0,False
126026,d4c4072b-691a-44be-bee1-b5584203acbe,39,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 35.3, 3.8]",Right Wing,"[101.4, 43.1]",0.855434,,Off T,Open Play,303516,,0,False
126027,d19eda6e-f8a1-4b1f-a4fd-dccf2d4c9a60,47,Barcelona,From Corner,Barcelona,Ricard Puig Martí,"[104.5, 43.5]",Left Center Midfield,"[97.1, 44.9]",0.28327,,Blocked,Open Play,303516,,0,False
126028,89449222-5587-4d5e-a8eb-57445e4d2338,48,Barcelona,From Throw In,Barcelona,Nélson Cabral Semedo,"[120.0, 46.0, 6.0]",Right Back,"[99.2, 53.5]",0.955688,,Off T,Open Play,303516,,0,False
126030,0093c485-6981-4acc-baf1-46d1baaf557e,50,Barcelona,From Kick Off,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 43.8, 4.3]",Right Wing,"[116.9, 49.6]",0.605844,,Off T,Open Play,303516,True,0,False
